bus_number,duty,ot,it,shift
DL1PC7137,419,"12/9/2020, 6:48:09 AM","12/9/2020, 1:58:28 PM",morning
DL1PC7573,522,"12/9/2020, 7:11:50 AM","12/9/2020, 2:04:50 PM",morning
DL1PC7002,522,"12/9/2020, 6:03:17 AM","12/9/2020, 1:04:31 PM",morning
DL1PC7039,413,"12/9/2020, 6:08:13 AM","12/9/2020, 2:02:44 PM",morning
DL1PC7049,411,"12/9/2020, 7:03:10 AM","12/9/2020, 2:35:44 PM",morning
DL1PC7012,469,"12/9/2020, 6:08:41 AM","12/9/2020, 1:42:32 PM",morning
DL1PC7050,423,"12/9/2020, 7:45:06 AM","12/9/2020, 3:15:12 PM",morning
DL1PC7041,542,"12/9/2020, 6:40:48 AM","12/9/2020, 2:17:41 PM",morning
DL1PC7037,520,"12/9/2020, 5:56:21 AM","12/9/2020, 1:19:15 PM",morning
DL1PC7053,525,"12/9/2020, 5:52:44 AM","12/9/2020, 1:04:41 PM",morning
DL1PC7031,500,"12/9/2020, 6:15:00 AM","12/9/2020, 1:51:48 PM",morning
DL1PC7060,680,"12/9/2020, 8:17:34 AM","12/9/2020, 3:40:45 PM",morning
DL1PC7018,505,"12/9/2020, 6:25:57 AM","12/9/2020, 1:54:14 PM",morning
DL1PC7393,419,"12/9/2020, 7:28:52 AM","12/9/2020, 2:08:46 PM",morning
DL1PC7042,516,"12/9/2020, 7:15:31 AM","12/9/2020, 2:55:18 PM",morning
DL1PC7028,500,"12/9/2020, 8:02:21 AM","12/9/2020, 3:19:30 PM",morning
DL1PC7051,423,"12/9/2020, 8:00:23 AM","12/9/2020, 3:41:47 PM",morning
DL1PC7024,680,"12/9/2020, 9:04:37 AM","12/9/2020, 3:58:45 PM",morning
DL1PC7092,419,"12/9/2020, 7:31:08 AM","12/9/2020, 2:56:19 PM",morning
DL1PC7040,680,"12/9/2020, 6:23:42 AM","12/9/2020, 2:18:43 PM",morning
DL1PC7069,500,"12/9/2020, 5:57:01 AM","12/9/2020, 1:18:44 PM",morning
DL1PC7075,423,"12/9/2020, 6:57:36 AM","12/9/2020, 6:10:05 PM",morning
DL1PC7029,423,"09/12/2020, 05:01:34","12/9/2020, 12:21:17 PM",morning
DL1PC7063,521,"12/9/2020, 5:51:36 AM","12/9/2020, 1:04:57 PM",morning
DL1PC7086,423,"12/9/2020, 7:59:59 AM","12/9/2020, 3:06:56 PM",morning
DL1PC7026,680,"12/9/2020, 8:18:33 AM","12/9/2020, 3:39:52 PM",morning
DL1PC7033,520,"12/9/2020, 6:19:28 AM","12/9/2020, 2:05:23 PM",morning
DL1PC7004,419,"12/9/2020, 7:11:27 AM","12/9/2020, 2:07:15 PM",morning
