route_id,service_id,trip_id,shape_id
1247,1,1247_06_00,
1247,1,1247_06_10,
1247,1,1247_06_20,
1247,1,1247_06_30,
1247,1,1247_06_40,
1247,1,1247_06_50,
1247,1,1247_07_00,
1247,1,1247_07_10,
1247,1,1247_07_20,
1247,1,1247_07_30,
1247,1,1247_07_40,
1247,1,1247_07_50,
1247,1,1247_08_00,
1247,1,1247_08_10,
1247,1,1247_08_20,
1247,1,1247_08_30,
1247,1,1247_08_40,
1247,1,1247_08_50,
1247,1,1247_09_00,
1247,1,1247_09_10,
1247,1,1247_09_20,
1247,1,1247_09_30,
1247,1,1247_09_40,
1247,1,1247_09_50,
1247,1,1247_10_00,
1247,1,1247_10_10,
1247,1,1247_10_20,
1247,1,1247_10_30,
1247,1,1247_10_40,
1247,1,1247_10_50,
1247,1,1247_11_00,
1247,1,1247_11_10,
1247,1,1247_11_20,
1247,1,1247_11_30,
1247,1,1247_11_40,
1247,1,1247_11_50,
1247,1,1247_12_00,
1247,1,1247_12_10,
1247,1,1247_12_20,
1247,1,1247_12_30,
1247,1,1247_12_40,
1247,1,1247_12_50,
1247,1,1247_13_00,
1247,1,1247_13_10,
1247,1,1247_13_20,
1247,1,1247_13_30,
1247,1,1247_13_40,
1247,1,1247_13_50,
1247,1,1247_14_00,
1247,1,1247_14_10,
1247,1,1247_14_20,
1247,1,1247_14_30,
1247,1,1247_14_40,
1247,1,1247_14_50,
1247,1,1247_15_00,
1247,1,1247_15_10,
1247,1,1247_15_20,
1247,1,1247_15_30,
1247,1,1247_15_40,
1247,1,1247_15_50,
1247,1,1247_16_00,
1247,1,1247_16_10,
1247,1,1247_16_20,
1247,1,1247_16_30,
1247,1,1247_16_40,
1247,1,1247_16_50,
1247,1,1247_17_00,
1247,1,1247_17_10,
1247,1,1247_17_20,
1247,1,1247_17_30,
1247,1,1247_17_40,
1247,1,1247_17_50,
1247,1,1247_18_00,
1247,1,1247_18_10,
1247,1,1247_18_20,
1247,1,1247_18_30,
1247,1,1247_18_40,
1247,1,1247_18_50,
1247,1,1247_19_00,
1247,1,1247_19_10,
1247,1,1247_19_20,
1247,1,1247_19_30,
1247,1,1247_19_40,
1247,1,1247_19_50,
1247,1,1247_20_00,
1247,1,1247_20_10,
1247,1,1247_20_20,
1247,1,1247_20_30,
1247,1,1247_20_40,
1247,1,1247_20_50,
1247,1,1247_21_00,
1247,1,1247_21_10,
1247,1,1247_21_20,
1247,1,1247_21_30,
1247,1,1247_21_40,
1247,1,1247_21_50,
1247,1,1247_22_00,
1247,1,1247_22_10,
1247,1,1247_22_20,
1247,1,1247_22_30,
1247,1,1247_22_40,
1247,1,1247_22_50,
1247,1,1247_23_00,
1248,1,1248_06_00,
1248,1,1248_06_10,
1248,1,1248_06_20,
1248,1,1248_06_30,
1248,1,1248_06_40,
1248,1,1248_06_50,
1248,1,1248_07_00,
1248,1,1248_07_10,
1248,1,1248_07_20,
1248,1,1248_07_30,
1248,1,1248_07_40,
1248,1,1248_07_50,
1248,1,1248_08_00,
1248,1,1248_08_10,
1248,1,1248_08_20,
1248,1,1248_08_30,
1248,1,1248_08_40,
1248,1,1248_08_50,
1248,1,1248_09_00,
1248,1,1248_09_10,
1248,1,1248_09_20,
1248,1,1248_09_30,
1248,1,1248_09_40,
1248,1,1248_09_50,
1248,1,1248_10_00,
1248,1,1248_10_10,
